arm,task,best_r2_mean,best_r2_std,steps_to_thr_mean,dead_frac_mean
l2init,40,0.5155781037841409,0.17694398818533588,20.0,0.0
l2init,41,0.38733406568846124,0.10425023813402673,30.0,0.0
l2init,42,0.4267468118096363,0.18840547482115547,21.666666666666668,0.0
l2init,43,0.39477732344519145,0.11657020486461794,26.5,0.0
l2init,44,0.3981379940555278,0.15307269954411606,19.0,0.0
l2init,45,0.37849781821447853,0.09906869231812958,27.0,0.0
l2init,46,0.4271383002804201,0.15850831105685512,27.666666666666668,0.0
l2init,47,0.4311310401157133,0.17691692385918434,27.333333333333332,0.0
l2init,48,0.4291178832579674,0.15434175578104128,29.333333333333332,0.0
l2init,49,0.4009779890508131,0.1572826949673547,24.5,0.0
